Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 61.35      1.19     1.19      751     0.00     0.00  Individual::draw_CV(unsigned char*, int, int)
 31.97      1.81     0.62      750     0.00     0.00  utils::diff(unsigned char const*, unsigned char const*, int, int)
  2.58      1.86     0.05     4235     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::seed(unsigned long)
  0.52      1.87     0.01  2642640     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.52      1.88     0.01  2638405     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.52      1.89     0.01    75168     0.00     0.00  Colour::get_a()
  0.52      1.90     0.01    37753     0.00     0.00  std::__cxx11::_List_base<Point*, std::allocator<Point*> >::_M_get_size() const
  0.52      1.91     0.01     4235     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  0.52      1.92     0.01     1784     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<double>::param_type const&)
  0.52      1.93     0.01     1500     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<Individual**> >, std::is_move_constructible<Individual**>, std::is_move_assignable<Individual**> >::value, void>::type std::swap<Individual**>(Individual**&, Individual**&)
  0.52      1.94     0.01      517     0.00     0.00  std::_List_node<Point*>* std::__cxx11::list<Point*, std::allocator<Point*> >::_M_create_node<Point* const&>(Point* const&)
  0.00      1.94     0.00  2642640     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      1.94     0.00  2638405     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      1.94     0.00   662331     0.00     0.00  std::_List_iterator<Polygon*>::operator++()
  0.00      1.94     0.00   351644     0.00     0.00  Point*&& std::forward<Point*>(std::remove_reference<Point*>::type&)
  0.00      1.94     0.00   338260     0.00     0.00  cv::_InputArray::init(int, void const*)
  0.00      1.94     0.00   296625     0.00     0.00  __gnu_cxx::__aligned_membuf<Point*>::_M_ptr()
  0.00      1.94     0.00   296625     0.00     0.00  __gnu_cxx::__aligned_membuf<Point*>::_M_addr()
  0.00      1.94     0.00   296625     0.00     0.00  std::_List_node<Point*>::_M_valptr()
